line;D;M;M_;F;L_coeff;R_coeff
1;0;0;1;0;6288774;-20905355
2;2;0;-1;0;1274027;-3699111
3;2;0;0;0;658314;-2955968
4;0;0;2;0;213618;-569925
5;0;1;0;0;-185116;48888
6;0;0;0;2;-114332;-3149
7;2;0;-2;0;58793;246158
8;2;-1;-1;0;57066;-152138
9;2;0;1;0;53322;-170733
10;2;-1;0;0;45758;-204586
11;0;1;-1;0;-40923;-129620
12;1;0;0;0;-34720;108743
13;0;1;1;0;-30383;104755
14;2;0;0;-2;15327;10321
15;0;0;1;2;-12528;0
16;0;0;1;-2;10980;79661
17;4;0;-1;0;10675;-34782
18;0;0;3;0;10034;-23210
19;4;0;-2;0;8548;-21636
20;2;1;-1;0;-7888;24208
21;2;1;0;0;-6766;30824
22;1;0;-1;0;-5163;-8379
23;1;1;0;0;4987;-16675
24;2;-1;1;0;4036;-12831
25;2;0;2;0;3994;-10445
26;4;0;0;0;3861;-11650
27;2;0;-3;0;3665;14403
28;0;1;-2;0;-2689;-7003
29;2;0;-1;2;-2602;0
30;2;-1;-2;0;2390;10056
31;1;0;1;0;-2348;6322
32;2;-2;0;0;2236;-9884
33;0;1;2;0;-2120;5751
34;0;2;0;0;-2069;0
35;2;-2;-1;0;2048;-4950
36;2;0;1;-2;-1773;4130
37;2;0;0;2;-1595;0
38;4;-1;-1;0;1215;-3958
39;0;0;2;2;-1110;0
40;3;0;-1;0;-892;3258
41;2;1;1;0;-810;2616
42;4;-1;-2;0;759;-1897
43;0;2;-1;0;-713;-2117
44;2;2;-1;0;-700;2354
45;2;1;-2;0;691;0
46;2;-1;0;-2;596;0
47;4;0;1;0;549;-1423
48;0;0;4;0;537;-1117
49;4;-1;0;0;520;-1571
50;1;0;-2;0;-487;-1739
51;2;1;0;-2;-399;0
52;0;0;2;-2;-381;-4421
53;1;1;1;0;351;0
54;3;0;-2;0;-340;0
55;4;0;-3;0;330;0
56;2;-1;2;0;327;0
57;0;2;1;0;-323;1165
58;1;1;-1;0;299;0
59;2;0;3;0;294;0
60;2;0;-1;-2;0;8752
